,date,year,quarter,month,month_name,month_abbreviation,year_month,day,day_of_week,day_name,day_abbreviation,week,is_weekend,fiscal_year,fiscal_quarter,fiscal_month,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year
102,2021-04-13 00:00:00.0000000,2021,2,4,April,Apr,202104,13,3,Tuesday,Tue,15,False,2021,2,4,False,False,False
103,2021-04-14 00:00:00.0000000,2021,2,4,April,Apr,202104,14,4,Wednesday,Wed,15,False,2021,2,4,False,False,False
104,2021-04-15 00:00:00.0000000,2021,2,4,April,Apr,202104,15,5,Thursday,Thu,15,False,2021,2,4,False,False,False
105,2021-04-16 00:00:00.0000000,2021,2,4,April,Apr,202104,16,6,Friday,Fri,15,False,2021,2,4,False,False,False
106,2021-04-17 00:00:00.0000000,2021,2,4,April,Apr,202104,17,7,Saturday,Sat,15,True,2021,2,4,False,False,False
107,2021-04-18 00:00:00.0000000,2021,2,4,April,Apr,202104,18,8,Sunday,Sun,15,True,2021,2,4,False,False,False
108,2021-04-19 00:00:00.0000000,2021,2,4,April,Apr,202104,19,2,Monday,Mon,16,False,2021,2,4,False,False,False
109,2021-04-20 00:00:00.0000000,2021,2,4,April,Apr,202104,20,3,Tuesday,Tue,16,False,2021,2,4,False,False,False
110,2021-04-21 00:00:00.0000000,2021,2,4,April,Apr,202104,21,4,Wednesday,Wed,16,False,2021,2,4,False,False,False
111,2021-04-22 00:00:00.0000000,2021,2,4,April,Apr,202104,22,5,Thursday,Thu,16,False,2021,2,4,False,False,False
112,2021-04-23 00:00:00.0000000,2021,2,4,April,Apr,202104,23,6,Friday,Fri,16,False,2021,2,4,False,False,False
113,2021-04-24 00:00:00.0000000,2021,2,4,April,Apr,202104,24,7,Saturday,Sat,16,True,2021,2,4,False,False,False
114,2021-04-25 00:00:00.0000000,2021,2,4,April,Apr,202104,25,8,Sunday,Sun,16,True,2021,2,4,False,False,False
115,2021-04-26 00:00:00.0000000,2021,2,4,April,Apr,202104,26,2,Monday,Mon,17,False,2021,2,4,False,False,False
116,2021-04-27 00:00:00.0000000,2021,2,4,April,Apr,202104,27,3,Tuesday,Tue,17,False,2021,2,4,False,False,False
117,2021-04-28 00:00:00.0000000,2021,2,4,April,Apr,202104,28,4,Wednesday,Wed,17,False,2021,2,4,False,False,False
